Text	ID	Source
"Farfalle with Peas, Ham and Cream. The recipe Farfalle with Peas, Ham and Cream can be made <b>in about 30 minutes</b>. This recipe serves 4. One portion of this dish contains around <b>15g of protein</b>, <b>16g of fat</b>, and a total of <b>397 calories</b>. For <b>77 cents per serving</b>, this recipe <b>covers 13%</b> of your daily requirements of vitamins and minerals. 3 people found this recipe to be scrumptious and satisfying. A mixture of salt and pepper, ham, farfalle pasta, and a handful of other ingredients are all it takes to make this recipe so scrumptious. It works well as a very reasonably priced main course. It is brought to you by Foodista. Taking all factors into account, this recipe <b>earns a spoonacular score of 42%</b>, which is pretty good. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/farfalle-with-gorgonzola-ham-and-peas-149446"">Farfalle With Gorgonzola, Ham And Peas</a>, <a href=""https://spoonacular.com/recipes/ham-and-peas-farfalle-in-creamy-lemon-parmesan-sauce-646183"">Ham and Peas Farfalle In Creamy Lemon Parmesan Sauce</a>, and <a href=""https://spoonacular.com/recipes/pasta-with-ham-peas-and-cream-18210"">Pasta With Ham, Peas And Cream</a>."	1	Spoonacular
"What to make for dinner tonight?? Bruschetta Style Pork & Pasta. What to make for dinner tonight?? Bruschetta Style Pork & Pasta takes roughly <b>35 minutes</b> from beginning to end. This recipe serves 5 and costs $1.96 per serving. This main course has <b>591 calories</b>, <b>45g of protein</b>, and <b>13g of fat</b> per serving. If you have bow tie pasta, parmigiano reggiano, recipe makers chicken bruschetta pasta, and a few other ingredients on hand, you can make it. 163 people have made this recipe and would make it again. It is brought to you by Pink When. Plenty of people really liked this Mediterranean dish. With a spoonacular <b>score of 90%</b>, this dish is outstanding. Similar recipes are <a href=""https://spoonacular.com/recipes/dinner-tonight-grilled-romesco-style-pork-209128"">Dinner Tonight: Grilled Romesco-Style Pork</a>, <a href=""https://spoonacular.com/recipes/dinner-tonight-chickpea-bruschetta-31868"">Dinner Tonight: Chickpea Bruschetta</a>, and <a href=""https://spoonacular.com/recipes/dinner-tonight-shrimp-bruschetta-from-da-zaccaria-209251"">Dinner Tonight: Shrimp Bruschetta from 'da Zaccaria</a>."	2	Spoonacular
"Linguine E Americana. You can never have too many main course recipes, so give Linguine E Americanan a try. For <b>$1.64 per serving</b>, this recipe <b>covers 25%</b> of your daily requirements of vitamins and minerals. One portion of this dish contains roughly <b>26g of protein</b>, <b>9g of fat</b>, and a total of <b>606 calories</b>. This recipe serves 4. This recipe from Foodista has 1 fans. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. Head to the store and pick up chicken stock, celery, carrots, and a few other things to make it today. Taking all factors into account, this recipe <b>earns a spoonacular score of 80%</b>, which is solid. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/americana-smoothies-375826"">Americana Smoothies</a>, <a href=""https://spoonacular.com/recipes/americana-apple-pie-507157"">Americanan Apple Pie</a>, and <a href=""https://spoonacular.com/recipes/americana-pot-roast-230322"">Americana Pot Roast</a>."	3	Spoonacular
"Beef Lo Mein Noodles. The recipe Beef Lo Mein Noodles can be made <b>in around 45 minutes</b>. This recipe serves 4 and costs $2.28 per serving. One portion of this dish contains around <b>23g of protein</b>, <b>18g of fat</b>, and a total of <b>344 calories</b>. It works well as a reasonably priced main course. This recipe from Foodista requires soba noodles, flank steak, green onions, and garlic. It is a good option if you're following a <b>dairy free</b> diet. 22 people were impressed by this recipe. With a spoonacular <b>score of 67%</b>, this dish is pretty good. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/beef-lo-mein-noodles-1299671"">Beef Lo Mein Noodles</a>, <a href=""https://spoonacular.com/recipes/lo-mein-noodles-471994"">Lo Mein Noodles</a>, and <a href=""https://spoonacular.com/recipes/pork-lo-mein-with-zucchini-noodles-1270489"">Pork Lo Mein with Zucchini Noodles</a>."	4	Spoonacular
"Penne Pasta with Broccoli and Cheese. Penne Pasta with Broccoli and Cheese might be just the main course you are searching for. This recipe serves 4 and costs 66 cents per serving. One portion of this dish contains roughly <b>13g of protein</b>, <b>2g of fat</b>, and a total of <b>269 calories</b>. From preparation to the plate, this recipe takes around <b>45 minutes</b>. Not a lot of people made this recipe, and 3 would say it hit the spot. It is brought to you by Foodista. If you have ground pepper, water, chicken broth, and a few other ingredients on hand, you can make it. With a spoonacular <b>score of 94%</b>, this dish is awesome. Try <a href=""https://spoonacular.com/recipes/penne-pasta-with-broccoli-and-cheese-1403877"">Penne Pasta with Broccoli and Cheese</a>, <a href=""https://spoonacular.com/recipes/penne-pasta-with-broccoli-and-cheese-1400035"">Penne Pasta with Broccoli and Cheese</a>, and <a href=""https://spoonacular.com/recipes/cheesy-broccoli-penne-pasta-547454"">Cheesy Broccoli Penne Pasta</a> for similar recipes."	5	Spoonacular
"Lemon White Wine Chicken over Linguini. Lemon White Wine Chicken over Linguini might be a good recipe to expand your main course recipe box. This recipe serves 2. For <b>$5.14 per serving</b>, this recipe <b>covers 36%</b> of your daily requirements of vitamins and minerals. One serving contains <b>824 calories</b>, <b>66g of protein</b>, and <b>29g of fat</b>. Head to the store and pick up al dente grain linguini, olive oil, pecorino cheese, and a few other things to make it today. 2 people have made this recipe and would make it again. It is brought to you by Foodista. From preparation to the plate, this recipe takes around <b>45 minutes</b>. Overall, this recipe earns a <b>solid spoonacular score of 72%</b>. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/lemon-white-wine-chicken-over-linguini-1384137"">Lemon White Wine Chicken over Linguini</a>, <a href=""https://spoonacular.com/recipes/asparagus-white-wine-and-crme-frache-linguini-38223"">Asparagus, White Wine And Crème Fraîche Linguini</a>, and <a href=""https://spoonacular.com/recipes/lemon-and-white-wine-chicken-583617"">Lemon and White Wine Chicken</a>."	6	Spoonacular
"Shrimp, Bacon, Avocado Pasta Salad. Shrimp, Bacon, Avocado Pasta Salad is a main course that serves 4. For <b>$2.43 per serving</b>, this recipe <b>covers 21%</b> of your daily requirements of vitamins and minerals. One serving contains <b>501 calories</b>, <b>19g of protein</b>, and <b>24g of fat</b>. It is brought to you by spoonacular user <a href=""/profile/luismi74"">luismi74</a>. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. It is a good option if you're following a <b>dairy free</b> diet. Head to the store and pick up salt, fusilli pasta, bell pepper, and a few other things to make it today. Try <a href=""https://spoonacular.com/recipes/creamy-avocado-pasta-with-shrimp-and-bacon-567376"">Creamy Avocado Pasta with Shrimp and Bacon</a>, <a href=""https://spoonacular.com/recipes/creamy-shrimp-avocado-bacon-ziti-pasta-1103056"">Creamy Shrimp Avocado Bacon Ziti Pasta</a>, and <a href=""https://spoonacular.com/recipes/shrimp-corn-california-avocado-pasta-salad-a-ca-avocado-trip-584558"">Shrimp, Corn & Californian Avocado Pasta Salad & a CAn Avocado Trip</a> for similar recipes."	7	Spoonacular
"Tagliatelle Con Vongole - Pasta With Little Clams. Tagliatelle Con Vongole - Pasta With Little Clams is a <b>gluten free, dairy free, paleolithic, and primal</b> recipe with 4 servings. For <b>$1.32 per serving</b>, this recipe <b>covers 7%</b> of your daily requirements of vitamins and minerals. This hor d'oeuvre has <b>92 calories</b>, <b>4g of protein</b>, and <b>2g of fat</b> per serving. This recipe from Foodista has 1 fans. Head to the store and pick up chili flakes as desired, white wine, glugs of olive oil, and a few other things to make it today. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 33%</b>. This score is not so excellent. Similar recipes are <a href=""https://spoonacular.com/recipes/tagliatelle-con-vongole-754632"">Tagliatelle con Vongole</a>, <a href=""https://spoonacular.com/recipes/pasta-e-ceci-con-vongole-154055"">Pastan e Ceci con Vongole</a>, and <a href=""https://spoonacular.com/recipes/linguine-with-clams-linguine-con-le-vongole-915374"">Linguine with Clams (Linguine con le Vongole)</a>."	8	Spoonacular
"Pistachio Pasta. The recipe Pistachio Pasta can be made <b>in roughly 45 minutes</b>. One serving contains <b>832 calories</b>, <b>30g of protein</b>, and <b>54g of fat</b>. For <b>$3.92 per serving</b>, this recipe <b>covers 35%</b> of your daily requirements of vitamins and minerals. This recipe serves 2. If you have olive oil, pasta, pistachio nuts, and a few other ingredients on hand, you can make it. Only a few people made this recipe, and 1 would say it hit the spot. It works well as a main course. It is brought to you by Foodista. Overall, this recipe earns an <b>amazing spoonacular score of 82%</b>. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/pistachio-pasta-138867"">Pistachio Pasta</a>, <a href=""https://spoonacular.com/recipes/pasta-with-pistachio-pesto-187619"">Pasta with Pistachio Pesto</a>, and <a href=""https://spoonacular.com/recipes/pasta-with-pistachio-pesto-1202313"">Pasta with Pistachio Pesto</a>."	9	Spoonacular
"Pasta A La Lydia (Halloween Inspired). You can never have too many hor d'oeuvre recipes, so give Pastan A La Lydia (Halloween Inspired) a try. This recipe serves 10. One portion of this dish contains approximately <b>5g of protein</b>, <b>3g of fat</b>, and a total of <b>184 calories</b>. For <b>54 cents per serving</b>, this recipe <b>covers 12%</b> of your daily requirements of vitamins and minerals. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. This recipe from Foodista has 1 fans. It is perfect for <b>Halloween</b>. Head to the store and pick up sweet potatoes, zebra linguine, radicchio, and a few other things to make it today. Overall, this recipe earns a <b>good spoonacular score of 46%</b>. Similar recipes are <a href=""https://spoonacular.com/recipes/lydias-sausage-kale-soup-593091"">Lydia’s Sausage Kale Soup</a>, <a href=""https://spoonacular.com/recipes/lydias-austrian-raspberry-shortbread-304376"">Lydia's Austrian Raspberry Shortbread</a>, and <a href=""https://spoonacular.com/recipes/paella-inspired-seafood-pasta-with-a-cognac-cream-sauce-356347"">Paellan Inspired Seafood Pasta with a Cognac Cream Sauce</a>."	10	Spoonacular
